date,action,entry_price,shares,leverage,pnl,equity_before,close_price,smh_ret_%,vix_chg_%,exit_price
2022-07-06,ENTER_LONG,96.7463150024414,3100.893300095507,3.0,0.0,100000.0,,,,
2022-09-22,STOP_LONG,96.7463150024414,3100.893300095507,,-2000.0,100000.0,95.18558502197266,,,
2022-09-23,ENTER_LONG,93.82481384277344,3133.49942257993,3.0,0.0,98000.0,,,,
2022-09-26,STOP_LONG,93.82481384277344,3133.49942257993,,-1960.0,98000.0,92.7322998046875,,,
2022-09-26,ENTER_SHORT,9.311602592468262,15552.447817714683,1.5,0.0,96040.0,,-1.1644190841846092,7.820849730188573,
2022-09-26,EXIT_SHORT_EOD,9.26285056143455,15552.447817714683,,-758.2134186593981,96040.0,,,,9.311602592468262
2022-09-27,ENTER_LONG,93.43463134765624,3059.308477179453,3.0,0.0,95281.7865813406,,,,
2022-09-29,STOP_LONG,93.43463134765624,3059.308477179453,,-1905.635731626812,95281.7865813406,91.6446533203125,,,
2022-09-29,ENTER_SHORT,9.05809211730957,16323.884911834488,1.5,0.0,93376.15084971378,,-3.149319657327987,5.500330784050478,
2022-09-29,STOP_SHORT,8.580324293577133,16323.884911834488,,-1867.5230169942756,93376.15084971378,,,,8.465919969662771
2022-09-30,ENTER_LONG,90.28876495361328,3040.5320489121636,3.0,0.0,91508.6278327195,,,,
2022-10-10,STOP_LONG,90.28876495361328,3040.5320489121636,,-1830.17255665439,91508.6278327195,88.91336059570312,,,
2022-10-11,ENTER_LONG,86.10891723632812,3124.361267832702,3.0,0.0,89678.45527606511,,,,
2022-10-14,STOP_LONG,86.10891723632812,3124.361267832702,,-1793.5691055213024,89678.45527606511,84.45061492919922,,,
2022-10-17,ENTER_LONG,86.45032501220703,3049.7821549473947,3.0,0.0,87884.88617054382,,,,
